"comprimento","idade"
63.07,19
65.63,21
65.63,22.5
66.73,22.5
66.37,23.25
66.37,23.5
67.47,25
70.4,25
68.57,26
71.13,26.75
69.67,27
71.5,27.5
70.4,28
73.7,28
72.97,30.5
73.33,31.5
74.07,32.5
75.53,33
78.1,33
74.07,33.5
74.43,35
77,37
77,37.5
78.83,38.5
77.37,39
79.57,39
81.4,42
81.03,43
81.77,45.5
83.23,45.5
81.03,48
84.33,49
84.7,53
87.63,60
31.9,2.15
33.37,2.6
44.73,7.35
46.57,7.35
47.67,7.8
47.3,7.85
47.3,7.9
46.93,8
46.93,8
48.77,8.15
50.23,8.8
50.6,9.7
52.43,9.7
52.07,9.75
50.97,9.85
51.33,9.9
51.7,10.25
52.43,10.25
55.37,11.5
59.77,15.5
65.27,17
64.17,18.75
67.1,21
68.2,22.25
68.93,22.5
69.3,23
70.4,24
66.73,26
70.77,26
72.23,26.25
72.23,28.5
74.8,29.5
75.17,29.5
74.43,30.5
75.53,30.5
75.9,30.5
78.47,31
80.67,36.5
81.03,38
78.47,38.5
