"empresa","retorno","disclosure","endividamento","ativos","liquidez"
"Adidas",63.67,83,1.3,3967,14.3
"BASF",55.49,91,33.9,5450,16.8
"Bayer",52.42,77,36.1,4327,15.5
"BSH",54,90,20.8,4109,16.8
"Bosch",68.01,93,14.1,4458,17
"Daimler AG",64.13,90,45.2,6498,15.8
"Deutsche Bank",68.76,89,31.6,4993,16
"Faber-Castell",79.02,90,24.9,6352,16.5
"Group Technologies",84.64,98,31.5,9010,17
"Lufthansa",59.84,58,15.2,3189,15.8
"Puma",50.79,74,17.1,3476,16
"Siemens",47.46,81,64.9,4700,12.2
"ThyssenKrupp",36.06,46,47.3,3785,11
"Volkswagen",34.21,39,22.3,2901,12.6
"Opel",47.31,40,33.4,3872,12.6
"Deutsche Telekom",46.98,17,23.6,2597,12.2
"Wurth",34.54,54,2.4,3477,11.2
"DHL Express",38.82,27,25,2730,9.3
"BHP Billton",30.82,30,28.3,3390,9.2
"Holden",38.03,11,13.8,1851,10.4
"Qantas",31.92,18,19,3369,9.2
"Telstra",29.02,13,16.4,2509,9.5
"Bunge",31.04,20,30.4,2268,8.7
"Fortis",21.47,6,22.5,1938,9.8
"InBev",32.7,16,45.4,2239,8.6
"Stella Artois",32.61,7,19.6,1872,7.9
"Alpargatas",40.16,41,1.2,2996,10.5
"AmBev",42.32,35,16.8,3622,12.3
"Agrale",37.17,24,16.1,2972,9.7
"Aracruz Celulose",48.57,68,34.8,4691,8.9
"Azálea",33.66,14,40,2303,8
"Banco Itaú",56.14,83,23.9,3967,14.3
"Bematech",61.71,91,33.9,5450,16.8
"Bob's",54.43,77,36.1,4327,15.5
"Bradesco",71.84,90,20.8,4109,16.8
"Brahma",65.68,93,14.1,4458,17
"Caloi",72.57,90,45.2,6498,15.8
"CSN",62.36,89,31.6,4993,16
"Embraco",71.09,90,24.9,6352,16.5
"Embraer",86.18,98,31.5,9010,17
"EMS",60.9,58,15.2,3189,15.8
"Guararapes",56.33,74,17.1,3476,16
"Gerdau",44.19,81,2.4,4700,12.2
"Globo",44.62,46,47.3,3785,11
"Gradiente",38.49,39,22.3,2901,12.6
"Grupo Edson Queiroz",42.04,40,33.4,3872,12.6
"H. Stern",29.53,17,23.6,2597,12.2
"Klabin",51.6,54,31.7,3477,11.2
"Marcopolo",30.57,27,25,2730,9.3
"Natura",37.93,30,28.3,3390,9.2
"O Boticário",38.25,11,13.8,1851,10.4
"Odebrecht",27.52,18,19,3369,9.2
"Perdigão",39.04,13,37.8,2509,9.5
"Petrobras",37.86,20,30.4,2268,8.7
"Randon",29.95,6,22.5,1938,9.8
"Record",28.46,16,45.4,2239,8.6
"Sadia",21.88,7,19.6,1872,7.9
"Itaú Unibanco Banco",37.94,41,49.5,2996,10.5
"Tramontina",44.96,35,16.8,3622,12.3
"Tecnologia Automotiv",46.96,24,16.1,2972,9.7
"Vale",36.38,68,34.8,4691,8.9
"Votorantim",29.8,14,40,2303,8
"WEG",61.55,83,23.9,3967,14.3
"ATI Technologies",70.02,91,33.9,5450,16.8
"Bombardier",60.61,77,36.1,4327,15.5
"Celestica",52.27,90,20.8,4109,16.8
"Cogeco",69.97,93,14.1,4458,17
"Cognos",57.66,90,45.2,6498,15.8
"Nortel",63.92,89,31.6,4993,16
"Lenovo",60.61,90,24.9,6352,16.5
"Sinopec",81.56,98,31.5,9010,17
"Daewoo",46.41,58,15.2,3189,15.8
"Hyundai",63.13,74,17.1,3476,16
"Kia",37.25,81,64.9,4700,12.2
"LG",46.3,46,47.3,3785,11
"Samsung",45.49,39,22.3,2901,12.6
"Ssangyong",36.42,40,33.4,3872,12.6
"Lego",31.09,17,23.6,2597,12.2
"Maersk",49.28,54,31.7,3477,11.2
"Novozymes",33.01,27,25,2730,9.3
"Atento",36.01,30,28.3,3390,9.2
"BBVA",32.14,11,13.8,1851,10.4
"Gamesa",38.91,18,19,3369,9.2
"Iberia Linhas Aéreas",24.89,13,16.4,2509,9.5
"Iberdrola",32.19,20,30.4,2268,8.7
"Inditex",25.58,6,22.5,1938,9.8
"Mapfre",35.26,16,45.4,2239,8.6
"Santander",29.29,7,19.6,1872,7.9
"Telefónica",40.15,41,49.5,2996,10.5
"Zara",55.74,35,16.8,3622,12.3
"Repsol",47.02,24,16.1,2972,9.7
"3M",46.13,68,34.8,4691,8.9
"Altria",32.41,14,40,2303,8
"American Express",54.74,83,23.9,3967,14.3
"American Airlines",61.72,91,33.9,5450,16.8
"AMD",65.44,77,36.1,4327,15.5
"AOL",69.77,90,20.8,4109,16.8
"Apple",60.2,93,14.1,4458,17
"AT&T",64.32,90,45.2,6498,15.8
"Avon",69.95,89,31.6,4993,16
"BankBoston",60.26,90,24.9,6352,16.5
"Bank of America",72.85,98,31.5,9010,17
"BellSouth",44.28,58,15.2,3189,15.8
"Blockbuster",48.15,74,17.1,3476,16
"Boeing",42.14,81,64.9,4700,12.2
"Burger King",30.55,46,47.3,3785,11
"Caterpillar",35.07,39,22.3,2901,12.6
"ChevronTexaco",41.78,40,33.4,3872,12.6
"Chrysler",43.5,17,23.6,2597,12.2
"Cinemark",33.64,54,31.7,3477,11.2
"Cisco Systems",26.29,27,25,2730,9.3
"Colgate-Palmolive",45,30,28.3,3390,9.2
"Citigroup",35.31,11,13.8,1851,10.4
"Coca-Cola",29.11,18,19,3369,9.2
"CSC",40.27,13,16.4,2509,9.5
"Dell",29.75,20,30.4,2268,8.7
"Delta Air Lines",26.19,6,22.5,1938,9.8
"Deloitte",33.9,16,45.4,2239,8.6
"Dow Corning",21.03,7,19.6,1872,7.9
"DuPont",39.85,41,49.5,2996,10.5
"ExxonMobil",44.16,35,16.8,3622,12.3
"FedEx",45.38,24,16.1,2972,9.7
"Ford Motors",45.25,68,34.8,4691,8.9
"General Electric",33.28,14,40,2303,8
